objectid_1,objectid,park_cat,tmk,park_type,park_name,main_dist,link_id,legal_acre,globalid,first_base,first_soft,first_foot,first_socc,first_rugb,first_bask,first_tenn,first_voll,first_teth,first_golf,first_comm,first_hiki,first_jogg,first_exer,first_skat,first_sk_1,first_outr,first_picn,first_camp,first_ca_1,first_chil,first_swim,first_gymn,first_indo,first_art_,first_blea,first_bus_,first_co_1,first_conc,first_drin,first_ex_1,first_hand,first_ha_1,first_hist,first_land,first_life,first_ligh,first_park,first_pay_,first_pi_1,first_rest,first_shad,first_show,landwatcon,staffed,phone,total_acre,total_sqft,total_room,maint_dist,neighborho,council,first_city,first_name,first_zip,first_pool,first_po_1,first_po_2,x,y
11,11,1,84002047,7,Makaha Beach Park,3,129,20.62000084,{9EFCBCD3-0CBC-4504-BDCB-3E4D9B839420},F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,T,F,F,T,T,T,T,T, , ,None,20.62,898207, ,3,0,0,Waianae,84-369 Farringto,96792, , , ,1565511.69481707,113149.947220067
12,12,1,91016001,6,Kapolei Regional Park,3,260,69.38999939,{B003688F-C262-4296-ADCC-D35656D2B467},F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,T,F,F,T,T,F,F,F,T,F,T,T,T,F, , ,None,69.39,3022628, ,3,34,1,Kapolei,91-591 Farringto,96707, , , ,1614352.2559693,61399.3702932165
13,13,1,59020,14,Ke Nui Road F,4,219,0.06,{F8822763-09C5-4417-A55F-2261855A43B2},F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F, , ,None,0.06,2614, ,4,27,2,Haleiwa,Ke Nui Road,96712, , , ,1622809.32329096,180673.055457638
14,14,1, ,9,Koko Crater Botanical Garden,1,33,200,{2D715FED-FCE7-470B-B00E-A1DF8895A161},F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F, ,Y, ,200,8712000, ,1,1,3,Honolulu,400 Kealahou St,96825, , , ,1748900.88507693,43878.0149100115
15,15,1,39012005,8,Hanauma Bay Nature Preserve,1,34,50,{2F8C3FBF-ADE4-40C4-AA26-668AC9E0E06A},F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,T,F,F,F,F,T,T,F,T,T,T,F,T,F,T,T,T,T,T,T, , ,396-0933,50,2178000, ,1,1,4,Honolulu,7455 Kalanianaol,96825, , , ,1743368.98154618,36888.4004444042
16,16,1,44021054,14,Kaneohe Bay Drive B,4,355,0.13,{3DA95624-F03B-4A5D-A43B-EA3813D5AFC6},F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F, , ,None,0.13,5663, ,4,0,3,Kaneohe,Kaneohe Bay Drive,96744, , , ,1720707.48284744,93124.660850558
17,17,4,58003039,7,Sunset Point Beach Park (undeveloped),4,381,0.93000001,{BA0C8B8D-94E1-4532-A889-16F4F980E860},F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F, , ,None,0.93,40511, ,4,0,0,Haleiwa,58-049 Makanale Street,96712, , , ,1627717.12728058,186769.337177794
18,18,1,59001,14,Oopuola Street,4,207,0.09,{100D91B6-5B94-498D-8DF6-4FAFCEF435AF},F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F, , ,None,0.09,3920, ,4,27,2,Haleiwa,Oopuola Street,96712, , , ,1627746.84343901,186626.937963725
19,19,1,59001,14,Kahauola Street,4,208,0.01,{6E577122-738C-4F38-BF68-B6E009906281},F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F, , ,None,0.01,436, ,4,27,2,Haleiwa,Kahauoloa Street,96712, , , ,1627377.83698691,185891.527401326
20,20,1,68011042,14,Au Street A,4,158,0.04,{8157F74F-2FDC-4AD1-9548-1B27B4D8B732},F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F, , ,None,0.04,1742, ,4,27,2,Waialua,Au Street,96791, , , ,1593665.95267734,151546.753227027
21,21,1,68011038,7,Aweoweo Beach Park,4,368,1.42999995,{9C791037-E670-4200-9BC0-A426ED4C545B},F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F, , ,None,1.43,62291, ,4,0,2,Waialua,68-197 Au Street,96791, , , ,1592808.16992808,151332.998752263
22,22,1,68012041,14,Au Street B,4,159,0.03,{7E8423C4-9526-46E3-BD1D-6EC7F2A57662},F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F, , ,None,0.03,1307, ,4,0,2,Waialua,Au Street,96791, , , ,1591881.5864194,151155.705742827
23,23,1,68002001,7,Mokuleia Beach Park,3,24,38.49000168,{DEAA0EF9-E999-4810-9FCB-9B9CE6AFC23F},F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,T,T,F,T,F,T, , ,None,38.49,1676624, ,3,0,0,Waialua,68-919 Farrington Hwy.,96791, , , ,1575903.28269425,150822.353508183
24,24,1,68004003,14,Crozier Drive,4,353,0.09,{2456EAC3-D08D-49AB-B234-588FDE9A0ECC},F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F, , ,None,0.09,3920, ,4,27,2,Waialua,Crozier Drive,96791, , , ,1587637.23135761,150274.798392659
25,25,1,67006019,2,Kamananui Neighborhood Park,4,114,0.63999999,{2933C14D-89D7-438E-950A-9A0F90A23C16},F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F, , ,None,0.64,27878, ,4,27,2,Waialua,67-369 Alahaka Place,96791, , , ,1599733.11371321,145464.977389435
26,26,1,51012011,7,Swanzy Beach Park,4,20,4.82000017,{5788E092-337D-4430-A8AB-0B91E2FF44D9},F,F,F,F,F,T,F,T,F,F,F,F,F,F,F,F,F,T,T,F,T,F,F,T,F,F,F,F,F,F,F,F,T,F,F,F,T,T,T,F,T,F,F, ,Y,237-8081,4.82,209959, ,4,0,2,Kaaawa,51-369 Kamehameha Highway,96730, , , ,1690241.48452854,141696.75626043
27,27,1,51002025,7,Kaaawa Beach Park,4,19,2.02999997,{AE3E89CB-C26B-42A1-AEAF-C495F077FAC7},F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,T,T,T,T,F, , ,None,2.03,88427, ,4,0,2,Kaaawa,51-392 Kamehameh,96730, , , ,1692571.14675122,137799.318883778
28,28,1,51009009,7,Kalaeoio Beach Park,4,100,0.81,{EB25A0F8-3444-404F-9169-B2AF9E099A47},F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F, , ,None,0.81,35284, ,4,0,0,Kaaawa,51-237 Kamehameha Highway,96730, , , ,1692797.89300569,137476.254372371
29,29,1,71006077,3,Whitmore Community Park,3,298,0.92000002,{F18FC2A6-99D6-448D-9292-29AC9E3B75DE},F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,T,F,F,F,F,F,F,F,F,T,F,F,F,F,T,F,F,T,F,F, ,Y,622-2420,0.92,40075, ,3,26,2,Wahiawa,1259 Whitmore Avenue,96786, , , ,1633823.30730545,125239.72174246
30,30,1,71004023,2,Whitmore Neighborhood Park,3,162,2.28999996,{CB48EE72-0BF9-4DA8-AE1C-925582312FB2},F,F,F,F,F,T,F,T,F,F,F,F,T,F,F,F,F,F,F,F,T,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,T,F, ,Y,None,2.29,99752, ,3,26,2,Wahiawa,1277 East Nani Ihi Avenue,96786, , , ,1633730.02774858,124957.614063167
31,31,1,71009064,2,Kahi Kani Neighborhood Park,3,363,2.6400001,{032BFD8E-7DF2-4587-97D6-8125A545A9DE},F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F, , ,None,2.64,114998, ,3,26,2,Wahiawa,885 Whitmore Avenue,96786, , , ,1631170.49037319,124698.999109766
32,32,1,15025002,4,Kalakaua District Park,2,29,7.76999998,{756D550C-8E38-4028-8D55-7BA4C81711BA},F,F,F,F,F,T,T,T,F,F,F,F,F,F,T,T,F,F,F,F,T,F,T,T,F,F,F,F,F,F,F,F,T,F,T,F,T,T,F,F,T,T,F, ,Y,832-7801,7.77,338461, ,2,15,7,Honolulu,720 McNeil Street,96817, , , ,1682265.27386958,58417.1554594266
33,33,1,44039059,14,Milokai Place,4,326,0.03,{F85979F8-D678-49DC-85B1-B095F90B954B},F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F, , ,None,0.03,1307, ,4,31,3,Kaneohe,Milokai Place,96734, , , ,1729404.59812865,95034.3939881195
34,34,1,44003015,3,Aikahi Community Park,4,121,4.01999998,{358BE547-479F-40C1-BE60-2499DFD688C9},F,T,F,F,F,T,F,T,F,F,F,F,F,F,F,F,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,T,T,F,F,F,F,T,T,T,T,T,F, ,Y,254-4678,4.02,175111, ,4,31,3,Kailua,93 Kaneohe Bay D,96734, , , ,1725228.3023633,94272.0669623656
35,35,1,44039060,14,Kaimalino Street,4,327,0.05,{2AD90B2D-BB7A-436D-932D-6F6A2AFDCD96},F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F, , ,None,0.05,2178, ,4,31,3,Kaneohe,Kaimalino Street,96734, , , ,1728880.4780164,94092.1690500321
36,36,1,62003022,6,Haleiwa Regional Park,4,192,3.4000001,{50DACCF4-3157-4345-8023-EBD2B43D6F44},F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F,F,F,F,F,F,F,F,F, , , ,0,0, ,0,0,0,Haleiwa,62-494 Kamehameh,96712, , , ,1605530.132059,156389.691189319
37,37,3,39010042,12,Ka Iwi (Hawaii Kai) Park (future),1,9037,29.65999985,{B883FA6F-B034-4862-961A-26FBC42297FF},F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F, , , ,0,0, ,0,0,0,Honolulu, ,96795, , , ,1754816.40718069,45692.2124141183
38,38,1,51003003,7,Makaua Beach Park,4,109,0.141,{8999AF2D-1DB1-47BF-9BB6-2D6737B60527},F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F, , , ,0,0, ,0,0,0,Kaaawa,51-541 Kamehameha Highway,96730, , , ,1689336.11684933,141959.062159317
39,39,1, ,14,Alii Landing Shoreline Access,4,384,0.005,{6EC13395-994D-456A-8CBA-5A445A891FA6},F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F, , , ,0,0, ,0,0,0,Honolulu,2550 Likelike Hi,96819, , , ,1706434.65636073,95911.6113335678
40,40,1, ,2,Kupuohi Neighborhood Park,3,407,9.05000019,{ECBEB056-711C-419A-9D8F-CA8C5B32E345}, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9.05,394218, ,3,22,0, , , , , , ,1629576.12814806,81911.6168455482
41,41,1, ,4,Koko Head District Park,1,30,40,{7FD008C9-59F5-47F8-8C80-B687D89ECC01}, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,395-3096,40,1742400, ,1,1,3, , , , , , ,1744563.60887431,40498.3700218973
42,42,1,85002049,4,Waianae District Park,3,331,23.9,{EFBE0D3F-E408-4A65-A11F-1226EE6D47B8}, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Y, ,22.92,0, ,0,0,0, , , , , , ,1574591.4929034,103037.653536705
43,43,1,91074039,14,Kaiholo St,3,481,6.92999983,{7A7FD7D9-8FA5-4DA8-BC6A-3F0994FB94D9}, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0, ,0,0,0, , , , , , ,1599958.77035104,54682.3846063666
44,44,1, ,1,Kuhio Mini Park #1,1,462,0.1,{3E41067D-2E67-4AF0-A6F4-C1FFCA192B64}, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,None,0.1,4830, ,0,0,0, , , , , , ,1701325.55503571,38956.8834782854
45,45,1,68010012,14,Hoomana Place,4,404,0.03,{41B1EDCE-27A1-4D92-954C-9F7DB24E369E}, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,None,0.03,1307, ,4,0,0, , , , , , ,1580001.00350284,150235.558989292
46,46,1, ,12,Pointer Fields,3,483,5,{DDA8A026-08ED-4232-A883-553E6FEBACCF}, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0, ,0,0,0, , , , , , ,1617593.63778013,55864.9084230904
47,47,1, ,4,Ewa Mahiko District Park,3,113,27.05999947,{2FCD337C-C1D6-4955-A2BF-7F0B7CA55B42}, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0, ,0,0,0, , , , , , ,1627565.34465061,61963.7718071377
48,48,1, ,7,Kapiolani Beach Park,1,452,7.05200005,{02B24FC0-BD18-4071-9122-487B835FF670}, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0, ,0,0,0, , , , , , ,1700930.80907693,36951.2049048519
49,49,1, ,14,Alaihi St,4,477,0.005,{237757C7-F116-48FC-AE4E-9F72F9BB9038}, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0, ,0,0,0, , , , , , ,1743622.44015098,61534.5325398707
50,50,1, ,14,Puuone St,4,478,0.005,{FA2359A7-9A44-4378-9242-7B4275674097}, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0, ,0,0,0, , , , , , ,1743808.43347863,61237.9978630044
51,51,1, ,14,Wailea St,4,479,0.005,{04C13C18-7C43-4661-9D94-1F3B2E58B82B}, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0, ,0,0,0, , , , , , ,1744000.79613662,60930.5902514085
52,52,1, ,3,Mililani Mauka Community Park,3,62,12.84000015,{B06D1B98-1C7F-46A5-A8A2-26FB00D5DAD8}, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0, ,0,0,0, , , , , , ,1643323.5172634,112590.640304444
53,53,3,91057017,7,Ko Olina Beach Park (future),3,160,10.25,{012CE36C-0EA4-4007-99F6-AE70F0EF5993}, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0, ,0,0,0, , , , , , ,1598899.4179982,58462.5345753143
54,54,4, ,7,Laniakea Beach Support Park (undevel),4,191,1.88999999,{F9FD0544-118C-4F61-BA86-AA2DEEDB6DC6}, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0, ,0,0,0, , , , , , ,1611252.08545736,163841.804001553
55,55,1,94005074,6,Patsy T. Mink Central Oahu Regional Park,5,141,267.354,{5CB13D2F-92A5-4646-9A9C-04D7D1B39283},T,T,T,T,T, ,T, , , , , , , , , , , , , ,T,T, , ,T,T,T, ,T,T, , , , , , ,T,T, , ,T,T, , ,Y,676-6982,0,0, ,0,22,8, , , , , , ,1638686.88201232,88184.7414237278
56,56,1, ,14,South Kalaheo at Kuuniu Street,4,390,0.19,{B7D35311-EB7D-453D-BCBB-B24FAE463395}, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,F,F, , , , ,0,0, ,0,0,0, , , , , , ,1731131.77421865,84555.8162281945
57,57,4, ,7,Leftovers Beach Access Park (undevel),4,263,1.12,{19544D93-9393-49F2-A27A-B485A0D20E23}, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0, ,0,0,0, , , , , , ,1615337.11964432,167697.442910012
58,58,1, ,14,Crozier Drive Brow Parking,4,403,0.23999999,{8E588D67-F553-40DC-A654-298014439383}, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0, ,0,0,0, , , , , , ,1587823.92900088,150080.259759523
59,59,4, ,7,Uppers Surfing Support Park (undevel),4,270,0.69999999,{E70F8E7D-6BB0-4A51-A96F-B806BF47E623}, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0, ,0,0,0, , , , , , ,1616713.75583845,169668.865477833
60,60,1, ,14,Banzai Rock,4,402,0.30000001,{223ABD90-EBC2-46C7-80A3-EEB64AA88FFC}, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0, ,0,0,0, , , , , , ,1621800.2053859,179543.094355384
61,61,1,11009006,3,Moanalua Community Park,2,133,7.59000015,{53621931-6E9B-4B73-AF02-FD4AB6E92FD7},F,T,F,F,F,T,T,T,F,F,F,F,F,F,F,F,F,T,F,F,T,T,F,T,F,F,F,F,F,T,F,F,T,F,T,F,F,T,F,T,T,T,F, ,Y,831-7105,7.59,330620, ,2,17,8,Honolulu,1289 Mahiole St,96819,Dyanne Taylor,831-7106,2900 Moanalua Rd,1676694.12878594,66432.6999504502
62,62,1,45023009,4,Kaneohe District Park,4,239,31.37000084,{BACB08DA-B5D4-4216-82E0-C2BEB6D47041},T,T,F,T,F,T,T,T,F,F,F,F,F,F,F,F,F,F,F,F,T,T,T,T,F,F,F,F,F,T,F,T,T,F,T,F,F,T,T,F,T,F,F, ,Y,233-7312,31.37,1366477, ,4,30,3,Kaneohe,45-660 Keaahala,96744,Cathy Lyon,233-7311,45-660 Keaahala Rd,1704945.68582013,88812.5863820473
63,63,1,32025001,3,Kapaolono Community Park,1,77,5.5,{9515C363-3450-4D52-9EC8-74FA41853DF1},F,F,F,T,F,T,T,T,F,F,F,F,F,F,F,F,F,T,F,F,T,T,F,T,F,F,F,F,F,F,F,F,T,T,T,F,T,T,T,F,T,T,F, ,Y,733-7370,5.5,239580, ,1,4,4,Honolulu,701 11th Avenue,96816,Jeaneen Heldt,733-7369,701 11th Ave,1707303.85527086,39693.2217693998
64,64,1,97036123,4,Pearl City District Park,3,112,9.94999981,{580D14B7-4335-4836-BA19-0C80585781EB},F,F,F,F,F,T,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,T,T,T,F,F,F,F,F,F,F,F,T,F,F,F,T,T,T,F,T,F,F, ,Y,453-7550,9.95,433422, ,3,21,8,Pearl City,785 Hoomaemae Street,96782,Ross Satsuma,453-7552,785 Hoomaemae Rd,1652801.33254325,85591.860037296
65,65,1,97093016,3,Pacific Palisades Community Park,3,167,8.42000008,{72EB9E92-7F81-477A-8B11-525120C20127},F,T,F,F,F,T,T,T,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,T,F,T,F,F,F,T,F,F,T,F,F,F,F,T,T,F,T,F,F, ,Y,453-7557,8.42,366775, ,3,21,8,Pearl Cit,2299 Auhuhu Stre,96782, , , ,1656335.87186464,94331.1035016573
66,66,1,87004042,3,Maili Community Park,3,173,3.68000007,{DBF9E989-62F5-48A9-93A9-ED36B5AF5173},F,F,T,F,F,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,T,F,F,T,T,F, ,Y,696-4766,3.68,160301, ,3,24,1,Waianae,87-360 Kulaaupuni Street,96792, , , ,1581403.97886781,92066.4989381324
67,67,1,44012067,2,Keaalau Neighborhood Park,4,314,3.74000001,{93CC7468-7F36-4B39-AA63-AABFD29C2136},F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F, , ,None,3.74,162914, ,4,30,3,Kaneohe,44-500 Kaneohe Bay Drive,96744, , , ,1720703.88641674,91063.8163624917
68,68,1,27003048,1,Frank C. Judd Mini Park,1,280,0.37,{A521F433-C4AC-4552-B9E6-10E13F4451E8},F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,T,F,F,F,F,F,T,F,F,T,F,T,F,F,T,F,F,F,T,T,F,T,F, , ,None,0.37,16117, ,1,8,5,Honolulu,2008 Kapiolani B,96826, , , ,1697609.72959124,44758.3442242313
69,69,1,27016,1,Kaaha Street Mini Park,1,371,0.16,{25FAC866-FD12-4017-BBE9-A4A619A4142B},F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,T,F, , ,None,0.16,6970, ,1,8,5,Honolulu,2630 Kaaha Street,96826, , , ,1700671.49122372,44561.3141765898
